,Unnamed: 0,District,Name of Building,End Date of HomeQuarantine
13,38.0,Wong Tai Sin,"Lung Yat House, Lower Wong Tai Sin Estate",07/02/2020
14,39.0,Wong Tai Sin,"Lai Yuen House, Chuk Yuen South Estate",07/02/2020
15,40.0,Kwai Tsing,"Kwai Ching House, Kwai Fong Estate",07/02/2020
16,41.0,Kwai Tsing,"Block 1, Kwai Chung Plaza",07/02/2020
17,42.0,Islands,"Ying Tung Estate, Ying Yuet Estate",07/02/2020
18,43.0,Kwun Tong,"Tin Chi House, Shun Tin Estate",07/02/2020
19,44.0,Yau Tsim Mong,"Lucky House, 18-24 Jordan Road",07/02/2020
20,45.0,Yau Tsim Mong,"Tower 1, Eltanin Square Mile",07/02/2020
21,46.0,Kowloon City,"Block A, Fok Lin Building",08/02/2020
22,47.0,Kowloon City,"Block 10, Cherry Mansions, WhampoaGarden (Site2)",08/02/2020
23,48.0,Central & Western,"Block 1, Cayman Rise",08/02/2020
24,49.0,Yuen Long,Phase 1A Park Vista,08/02/2020
25,50.0,Yuen Long,"Block 4, Lynwood Court, Kingswood Villas",08/02/2020
0,,,(Phase 5),
1,51.0,Yuen Long,"Fook Shun Building, No.45-67 Ma WangRoad",08/02/2020
2,52.0,Tuen Mun,"Block 4, Melody Garden",08/02/2020
3,53.0,Tuen Mun,"Block 10, Melody Garden",08/02/2020
4,54.0,Tuen Mun,Chung Uk Tsuen (Tuen Mun),08/02/2020
5,55.0,Tuen Mun,"Block 6, Pierhead Garden",08/02/2020
6,56.0,Sai Kung,"Tower 5, Le Prestige of Lohas Park",08/02/2020
7,57.0,Sai Kung,Li Dak Sum Yip Yio Chin Kenneth LiConference Lodge,08/02/2020
8,58.0,Sai Kung,"Ho Ming Court, No. 9 Kai King Road",08/02/2020
9,59.0,Sha Tin,"Hin Fu House, Hin Keng Estate",08/02/2020
10,60.0,Sha Tin,"Tower 3, Phase 3, Festival City",08/02/2020
11,61.0,Eastern,"Block 6, Nan Fung Sun Chuen",08/02/2020
12,62.0,Yau Tsim Mong,"Tower 2, Hampton place",08/02/2020
13,63.0,Tsuen Wan,"Tower West, Chelsea Court, No.90-114Yeung Uk Road",08/02/2020
14,64.0,Sham Shui Po,"Wing Chun House, Wing Cheong Estate",08/02/2020
15,65.0,Sham Shui Po,"Hoi Wo House, Hoi Lai Estate",08/02/2020
16,66.0,Wong Tai Sin,"Cheong Sin House, Upper Wong Tai SinEstate",08/02/2020
17,67.0,Kwai Tsing,"Fu Yin House, Tai Wo Hau Estate",08/02/2020
18,68.0,Islands,"Sui Yat House, Yat Tung Estate",08/02/2020
19,69.0,Wan Chai,"Block 2, Hoover Towers",08/02/2020
20,70.0,Kwun Tong,"Choi Wui House, Choi Hing Court",08/02/2020
21,71.0,Kwun Tong,"Chi Cheong Building, No.2-4 Yee On Street",08/02/2020
22,72.0,Kwun Tong,"Ping Shing House, Ping Tin Estate",08/02/2020
23,73.0,Tai Po,"Hing Wo House, Po Nga Court, Tai WoEstate",09/02/2020
24,74.0,Central & Western,Sang Cheong Building,09/02/2020
