,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),HongKongSkycityMarriottHotel,5380,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
114,Yau Tsim Mong,Wu Sang House Gold Garden Restaurant,5391,,,,08/11/2020
115,Tuen Mun,8 Ming Ngai Street Tuen Mun Miu Fat Chai,5398,,,,08/11/2020
116,Sha Tin,Man Wo House Wo Che Estate,5418,,,,08/11/2020
117,Yau Tsim Mong,141 Prince Edward Road West Yuen Long Bistro,5427,,,,08/11/2020
118,Tai Po,Fourtune Plaza 咪走雞燒 味至尊小廚,5432,,,,08/11/2020
119,Tai Po,Tai Po Plaza Sushi Express,5432,,,,08/11/2020
120,Yau Tsim Mong,Sun Hon House,5433,,,,08/11/2020
121,Yau Tsim Mong,56 Larch Street Hung Cheong Café,5433,,,,08/11/2020
122,Sha Tin,Kings Wing Plaza 1 麗島 小廚,5399,,,,09/11/2020
123,Sha Tin,Kings Wing Plaza 1 狀元 橋米線,5399,,,,09/11/2020
124,Sha Tin,Kings Wing Plaza 1 台豐 台灣美食,5399,,,,09/11/2020
125,Tsuen Wan,L'hotel Nina et Convention Centre Ru Chinese Restaurant,5399,,,,09/11/2020
126,Kwai Tsing,Kwai Chung Shopping Centre,5427,,,,09/11/2020
127,Tuen Mun,Richland Garden Shopping Arcade 小桃園餐廳小廚,5427,,,,09/11/2020
128,Kwun Tong,Sino Industrial Plaza 祥和 食堂,5427,,,,09/11/2020
129,Sha Tin,Li Ping Medical Library The Chinese University of Hong Kong,5432,,,,09/11/2020
130,Sha Tin,University Health Centre The Chinese University of Hong Kong,5432,,,,09/11/2020
131,Sha Tin,Chuen Fai Centre 裕發粉 麵茶餐廳,5432,,,,09/11/2020
132,Wan Chai,Windsor House Genki Sushi,5435,,,,09/11/2020
133,Sha Tin,New Trade Plaza 永興食 堂,5399,,,,10/11/2020
134,Sha Tin,Grandtech Centre,5399,,,,10/11/2020
135,Kwai Tsing,Kwai Chung Shopping Centre Market,5427,,,,10/11/2020
136,Kwai Tsing,Kwong Fai Building 雲貴 軒米線專門店,5427,,,,10/11/2020
137,Tai Po,Tai Po Plaza,5432,,,,10/11/2020
138,Kowloon City,34E Tam Kung Road Sugar Taste Café,5435,,,,10/11/2020
139,Kowloon City,Heep Yunn School,5435,,,,10/11/2020
140,Sham Shui Po,Pei Ho Street Municipal Services Building Cooked Food Centre,5436,,,,10/11/2020
141,Wong Tai Sin,64 Yuk Wa Street,5439,,,,10/11/2020
142,Wan Chai,Hysan Place,5426,,,,11/11/2020
143,Kwun Tong,E-Max Taiwan Kitchen,5427,,,,11/11/2020
144,Kwun Tong,E-Max,5427,,,,11/11/2020
145,Kwun Tong,Sino Industrial Plaza 信和 食堂,5427,,,,11/11/2020
146,Yau Tsim Mong,Park Summit Shopping Centre Jade Palace Chinese Restaurant,5433,,,,11/11/2020
147,Yau Tsim Mong,Chuang's London Plaza,5439,,,,11/11/2020
