,Building name,District,Last date of visitby any of theinvolved case(s),Related confirmed /probable cases,Related confirmed / probablecase number
8,Tai Lung House,Eastern,,,444
9,"Tower 6, The Latitude",Wong Tai Sin,,,446
10,"Chiu Man House, Oi Man Estate",Kowloon City,,,447
11,"Tower 6, Nan Fung Plaza",Sai Kung,,,448
12,280 Ki Lung Street,Sham Shui Po,,,450
13,379 Queen's Road Central,Central & Western,,,451
14,8 Mercer Street,Central & Western,,,452
15,18 Eastern Street,Central & Western,,,453
16,"Lee Yip House, Shun Lee Estate",Kwun Tong,,,454
17,Yan Sau Wai,Yuen Long,,,455
18,"Sau Wah House, Sau Mau Ping Estate",Kwun Tong,,,458
19,Shining Heights,Yau Tsim Mong,,,459
20,"Tower 9, Metro City Phase 2",Sai Kung,,,460
21,"Twilight Court, Peninsula Village",Islands,,,461
22,"Block A, Hyde Towers",Kwun Tong,,,462
23,"Block B, Abba House",Southern,,,463
24,Scholastic Garden,Central & Western,,,464
25,8 Kennedy Road,Central & Western,,,465
26,"Block 4, Sun Yuen Long Centre",Yuen Long,,,466
27,"Block A, Elm Tree Towers",Wan Chai,,,467
28,"Block 2, Villas Sorrento",Central & Western,,,468
29,OZO Wesley Hong Kong,Wan Chai,,,469
30,YMCA,Yau Tsim Mong,,,470
0,"Block 2, Sun Tuen Mun Centre",Tuen Mun,,,471
1,"Tower 2, Solaria",Tai Po,,,472
2,392 Reclamation Street,Yau Tsim Mong,,,473
3,The Luxe Manor,Yau Tsim Mong,,,474
4,The Palisades,Sai Kung,,,475
5,57 South Bay Road,Southern,,,476
6,Yick Shing Mansion,Wan Chai,,,477
7,"5B, Wings At Sea, Lohas Park",Sai Kung,,,478
8,"Hoi Tsui Mansion, Riviera Gardens",Tsuen Wan,,,480
9,33 Kam Wa Street,Eastern,,,481
10,Dorsett Kwun Tong,Kwun Tong,,,482
11,Scenery Garden,Sha Tin,,,483
12,"Ching Ming House, Tsz Ching Estate",Wong Tai Sin,,,484
13,L'hotel Island South,Southern,,,485
14,Courtyard by Marriott Hong Kong Sha Tin,Sha Tin,,,486
15,OZO Wesley Hong Kong,Wan Chai,,,487
16,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,,488
17,"Hiu Tin House, Hiu Lai Court",Kwun Tong,,,489
18,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,,490
19,"Block 14, Richland Gardens",Kwun Tong,,,491
20,"Block 8, Tierra Verde",Kwai Tsing,,,492
21,"Block 3, Charming Garden",Yau Tsim Mong,,,493
22,Super Tower,Sham Shui Po,,,494
23,"Hin Yeung House, Hin Keng Estate",Sha Tin,,,495
24,Kam Fung Building,Southern,,,496
25,Willie Court,Yau Tsim Mong,,,497
26,Tsim Sha Tsui Mansion,Yau Tsim Mong,,,498
27,Kensington Plaza,Yau Tsim Mong,,,499
28,"Block 33, Heng Fa Chuen",Eastern,,,500
29,Hang Shun Mansions,Wan Chai,,,501
30,"Block 3, Chelsea Heights",Tuen Mun,,,504
0,"Block 2, Castello",Sha Tin,,,507
1,"Block CD, 142 Pokfulam Road",Southern,,,508
2,Hing Lee Building,Kowloon City,,,509
3,"Wai Sum House, Lung Hang Estate",Sha Tin,,,510
4,"2B, Park Yoho",Yuen Long,,,511
5,Wai Ching Mansion,Yau Tsim Mong,,,512
6,310-312 Hennessy Road,Wan Chai,,,513
7,"Tower 3, Mantin Heights",Kowloon City,,,514
8,"Block A, Hyde Tower",Kwun Tong,,,515
9,Shun Hing Building,Yau Tsim Mong,,,516
10,280 Ki Lung Street,Sham Shui Po,,,517
11,Telford Gardens Block Q2,Kwun Tong,,,518
12,315 Nathan Road,Yau Tsim Mong,,,519
13,"Tower 3, Waterfront",Yau Tsim Mong,,,520
14,"Tower 2, Centrestage",Central & Western,,,522
15,"Tower 2, Centrestage",Central & Western,,,523
16,Ka Yee Building,Wan Chai,,,524
17,238-240 Lockhart Road,Wan Chai,,,525
18,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,,526
19,Queen's Cube,Wan Chai,,,528
20,Ocean View Court,Yau Tsim Mong,,,529
21,22 Cheong Lok Street,Yau Tsim Mong,,,531
22,Silka Tsuen Wan Hotel,Kwai Tsing,,,532
23,"Pik Shan House, Shek Pai Wan Estate",Southern,,,533
24,Fok Cheong Building,Eastern,,,534
25,32 Gough Street,Central & Western,,,535
26,Golden Jubilee House,Wan Chai,,,536
27,Ardshiel,Central & Western,,,537
28,Sausalito Tower 6,Sha Tin,,,538
29,"Block E, Kam Ying Court",Sha Tin,,,539
30,Ramada Hong Kong Harbour View Hotel,Central & Western,,,540
0,O Pui Village,Sai Kung,,,541
1,Honiton Building,Central & Western,,,542
2,217 Des Voeux Road West,Central & Western,,,543
3,Felix Villas,Central & Western,,,544
4,Camlux Hotel,Kwun Tong,,,545
5,Healey Building,Yuen Long,,,546
6,Hai Wing Road,North,,,547
7,Euston Court,Central & Western,,,548
8,"Block 2, Blossom Garden",Tuen Mun,,,549
9,30 Fat Kwong Street,Kowloon City,,,550
10,12 Hung Lok Road,Kowloon City,,,551
11,Ha Hang Village,Tai Po,,,552
12,"Block 1, Provident Centre",Eastern,,,553
13,Holiday Inn Express Hong Kong Mongkok,Yau Tsim Mong,,,554
14,Excelsior Court,Central & Western,,,555
15,Grand City Hotel,Central & Western,,,556
16,Dorsett Wanchai,Wan Chai,,,557
17,Dragons Range,Sha Tin,,,558
18,"Block A, The Dahfuldy",Kowloon City,,,559
19,Ramada Hong Kong Harbour View Hotel,Central & Western,,,560
20,Oceania Heights,Tuen Mun,,,561
21,"Block 4, Beverly Garden",Sai Kung,,,562
22,Fairview Height,Central & Western,,,563
23,"Block 2, Academic Terrace",Central & Western,,,564
24,"Block 2, The Castello",Sha Tin,,,565
25,32 Lyttelton Road,Central & Western,,,566
26,101 Ki Lung Street,Yau Tsim Mong,,,567
27,"Block 41, Heng Fa Chuen",Eastern,,,568
28,"Tower 10, La Splendeur Tower, Lohas Park",Sai Kung,,,569
29,"Block E, Galaxia",Wong Tai Sin,,,570
30,Pine Crest,Southern,,,571
0,"Block 1, Hong Lee Court",Kwun Tong,,,572
1,"Tower 5, Festival City II",Sha Tin,,,573
2,"Yee Yan House, Yee Ming Estate",Sai Kung,,,574
3,48 Kennedy Road,Central & Western,,,575
4,Golden Valley Mansion,Central & Western,,,576
5,Golden Valley Mansion,Central & Western,,,577
6,Golden Valley Mansion,Central & Western,,,578
7,Golden Valley Mansion,Central & Western,,,579
8,"Hing Shing House, Tai Hing Estate",Tuen Mun,,,580
9,"Siu Fu House, Siu Kwai Court",Tuen Mun,,,581
10,"Block 4, Provident Centre",Eastern,,,583
11,The Morgan,Central & Western,,,584
12,"Block B, Wing Tak Mansion",Wan Chai,,,585
13,"Block 1, Central Park",Yau Tsim Mong,,,586
14,Kong Ha Village,North,,,587
15,Kong Ha Village,North,,,588
16,The Park Lane,Wan Chai,,,589
17,"Block 1, Hong Lee Court",Kwun Tong,,,590
18,"Block 1, Sceneway Garden",Kwun Tong,,,591
19,"Block 3, Victoria Centre",Wan Chai,,,592
20,"Block 10, Grand Yoho",Yuen Long,,,593
21,Butterfly on Prat Boutique Hotel,Yau Tsim Mong,,,594
22,Monterey Villas,Islands,,,595
23,"Block 1, Chestwood Court, Kingswood Villas",Yuen Long,,,596
24,Dorsett Kwun Tong,Kwun Tong,,,597
25,"Block 8, City One Shatin",Sha Tin,,,598
26,"Cheung Tak House, Cheung Wah Estate",North,,,599
27,"Tower 7, Le Prime, Lohas Park",Sai Kung,,,600
28,Novotel Century Hong Kong Hotel,Wan Chai,,,601
29,"Block 3, The Sorrento, Tsim Sha Tsui",Yau Tsim Mong,,,602
30,"Tower 1, One Kai Tak (I)",Kowloon City,,,603
0,Best Western Grand Hotel,Yau Tsim Mong,,,604
1,Bishop Lei International House,Central & Western,,,605
2,Shining Building,Wan Chai,,,606
3,"Tower 2, Anglers' Bay",Tsuen Wan,,,607
4,Fairview Park,Yuen Long,,,608
5,Kwun Hei Court,Kowloon City,,,609
6,Kak Tin Village,Sha Tin,,,610
7,4 Argyle Street,Yau Tsim Mong,,,611
8,"Block A, Elm Tree Tower",Wan Chai,,,612
9,"Block A, Elm Tree Tower",Wan Chai,,,613
10,"Yiu Tsui House, Kai Tsui Court",Eastern,,,614
11,Wong Nai Tun Tsuen,Yuen Long,,,615
12,"Block AB, Scenic Villas",Southern,,,616
13,"Block C, Devon Court",Kowloon City,,,617
14,Wing Wah Mansion,Central & Western,,,618
15,"Ming Yan House, Ming Nga Court",Tai Po,,,619
16,"Ming Yan House, Ming Nga Court",Tai Po,,,620
17,"Tower 8, The Leighton Hill",Wan Chai,,,621
18,"Block A, Elm Tree Towers",Wan Chai,,,622
19,"Tower 1A, Century Link",Islands,,,623
20,"Tower 3A, Tierra Verde",Kwai Tsing,,,624
21,Ma Kwu Lam Village,Tai Po,,,625
22,Hang Shun Mansions,Wan Chai,,,626
23,"Sun On Building, 484-496, Queen's RoadWest",Central & Western,,,627
24,"Block 2, New Jade Garden",Eastern,,,628
25,"Mei Sang House, Shek Kip Mei Estate",Sham Shui Po,,,629
26,Hang Shun Mansions,Wan Chai,,,630
27,"Tower 2, Robinson Place",Central & Western,,,631
28,"Siu Fu House, Siu Kwai Court",Tuen Mun,,,632
29,"Block 6, Casa De Oro",Yuen Long,,,633
30,Kadoorie Avenue Mansion,Kowloon City,,,634
0,"Tat Hei House, Po Tat Estate",Kwun Tong,,,637
1,Po Hong Mansion,Tai Po,,,638
2,"Kan Wah House, Lok Wah North Estate",Kwun Tong,,,639
3,The Morgan,Central & Western,,,640
4,Headland Hotel,Islands,,,641
5,Sheung Heu Building,Kwun Tong,,,643
6,8 Kennedy Road,Central & Western,,,644
7,"Belleve Court, Pictorial Garden",Sha Tin,,,645
8,"Block 15, Caribbean Coast",Islands,,,646
9,Renaissance Harbour View Hotel,Wan Chai,,,647
10,The Park Lane Hong Kong,Wan Chai,,,648
11,"114 Broadway, Mei Foo Sun Chuen",Sham Shui Po,,,649
12,Page 148,Yau Tsim Mong,,,650
13,"Block 11, Caribbean Coast",Islands,,,651
14,"On Tao House, Cheung On Estate",Kwai Tsing,,,652
15,Best Western Grand Hotel,Yau Tsim Mong,,,653
16,"Pik Lam House, Tsui Lam Estate",Sai Kung,,,654
17,"Block 8, Provident Centre",Eastern,,,655
18,"Block 48, Heng Fa Chuen",Eastern,,,656
19,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,,,657
20,Tsing Fai San Tsuen,Kwai Tsing,,,658
21,"On Tao House, Cheung On Estate",Kwai Tsing,,,659
22,Park Hotel Hong Kong,Yau Tsim Mong,,,660
23,"Block 4, Hong Kong Parkview",Southern,,,661
24,"Hong Yat House, Yat Tung Estate",Islands,,,662
25,"Fu Loy House, Fu Cheong Estate",Sham Shui Po,,,663
26,Kingston Lodge,Sha Tin,,,664
27,"Tower 7, The Waterfront",Yau Tsim Mong,,,665
28,"Tower 7, The Waterfront",Yau Tsim Mong,,,666
29,Chek Nai Ping,Sha Tin,,,667
30,Elegant Terrace,Wan Chai,,,668
0,Metropark Hotel Mongkok,Yau Tsim Mong,,,669
1,Ko Po Tsuen,Yuen Long,,,670
2,"Palm Drive, Redhill Peninsula",Southern,,,671
3,YMCA of Hong Kong,Yau Tsim Mong,,,672
4,"Block B, Paterson Building",Wan Chai,,,673
5,"Cheung Chi House, Cheung Wah Estate",North,,,674
6,Hong Kong Skycity Marriott Hotel,Islands,,,675
7,Dorsett Wanchai,Wan Chai,,,676
8,"Pik Shan House, Shek Pai Wan Estate",Southern,,,677
9,"Lung Wah House, Lower Wong Tai Sin Estate",Wong Tai Sin,,,678
10,L' Hotel Island South,Southern,,,679
11,"Block 4, Phase 3, Metrocity",Sai Kung,,,680
12,L' Hotel Island South,Southern,,,681
13,"Tower 10, Mount Pavilia",Sai Kung,,,682
14,Fairview Height,Central & Western,,,683
15,"Lowrise 9, Mayfair by the Sea I",Tai Po,,,684
16,"Villa San De Oka, San Uk Ka Tsuen",Tai Po,,,685
17,Artisan House,Central & Western,,,686
18,"Tower 2A, Century Link",Islands,,,687
19,"Block 9, Deerhill Bay",Tai Po,,,688
20,The Manhattan,Southern,,,689
21,The Avenue,Wan Chai,,,690
22,"Siu Fu House, Siu Kwai Court",Tuen Mun,,,691
23,"Block D, Villa Lotto",Wan Chai,,,692
24,Bishop Lei International House,Central & Western,,,693
25,Pak Fai Mansion,Central & Western,,,694
26,Lai Yee Court,Eastern,,,695
27,"Block 17, Mei Fai Court, South Horizons",Southern,,,696
28,"Block 17, Mei Fai Court, South Horizons",Southern,,,697
29,"Block 4, Laguna City",Kwun Tong,,,698
30,Panorama Gardens,Central & Western,,,699
0,Dorsett Kwun Tong,Kwun Tong,,,700
1,"Tower 6, The Papillons",Sai Kung,,,701
2,"Tientsin House, Tsuen Wan Centre",Tsuen Wan,,,702
3,"Marigold House, So Uk Estate",Sham Shui Po,,,703
4,Kwun Tong Mansion,Kwun Tong,,,704
5,"Block B, Fuk Ming Building",Yau Tsim Mong,,,705
6,Boland Court Phase 1,Kowloon City,,,706
7,Oceanic Mansion,Eastern,,,707
8,Glory Heights,Central & Western,,,708
9,"Block 7, Villa Athena",Sha Tin,,,709
10,"Pacific House, Affluence Garden",Tuen Mun,,,710
11,"Pacific House, Affluence Garden",Tuen Mun,,,711
12,Luxe Manor Hotel,Yau Tsim Mong,,,712
13,"Pik Shan House, Shek Pai Wan Estate",Southern,,,713
14,Fortune Villa,Central & Western,,,714
15,"Tower 6, Banyan Garden",Sham Shui Po,,,715
16,"Fung Wai House, Sun Tin Wai Estate",Sha Tin,,,716
17,"Block 1, City Garden",Eastern,,,717
18,"Yin Tat House, On Tat Estate",Kwun Tong,,,718
19,"Tower One, Phase 4, Bel-Air On The Peak",Southern,,,719
20,"Tower 10, Mayfair by the Sea II",Tai Po,,,720
21,Arezzo,Central & Western,,,721
22,Hong Kong Reese Hotel,Southern,,,722
23,"Tower 1, Grand Promenade",Eastern,,,723
24,"Block 7, Oscar by the Sea",Sai Kung,,,724
25,"Block 7, Oscar by the Sea",Sai Kung,,,725
26,"Tower 3, Park Delvedere",Sha Tin,,,726
27,"Pik Ngan House, Shek Pai Wan Estate",Southern,,,727
28,Hong Kong Reese Hotel,Southern,,,728
29,Ha Tsuen Shi,Yuen Long,,,729
30,"Block 30A, Park Yoho Genova",Yuen Long,,,730
0,Dorsett Kwun Tong,Kwun Tong,,,731
1,"Tower 6, Banyan Garden",Sham Shui Po,,,732
2,Best Western Grand Hotel Hong Kong,Yau Tsim Mong,,,733
3,"Yuet Yat House, Yat Tung (II) Estate",Islands,,,734
4,"Friendship Court, 12 -22 Blue Pool Road",Wan Chai,,,735
5,Parker 33,Eastern,,,736
6,"Phase 1, Blessings Garden",Central & Western,,,737
7,Dragon Court,Central & Western,,,739
8,Aigburth,Central & Western,,,740
9,"Wang Ngai House, Cheung Wang Estate",Kwai Tsing,,,741
10,"Block A, Elm Tree Towers",Wan Chai,,,742
11,"Tower 2B, Century Link",Islands,,,743
12,Crowfields Court,Kowloon City,,,745
13,35 Station Lane,Kowloon City,,,746
14,"Tower 1A, Century Link",Islands,,,747
15,"Mei Wah Court, South Horizon",Southern,,,748
16,"La Rossa A, Coastal Skyline",Islands,,,749
17,"Tung Hiu House, Tung Yuk Court",Eastern,,,750
18,"Tower 2, Queen's Terrace",Central & Western,,,751
19,"Tientsin House, Tsuen Wan Centre",Tsuen Wan,,,752
20,Headland Hotel,Islands,,,753
21,"Tak Fu House, Hau Tak Estate",Sai Kung,,,754
22,On Keung Building,Wong Tai Sin,,,755
23,Luxury Court,Yau Tsim Mong,,,756
24,Tung Hei Court,Kowloon City,,,757
25,Windsor Mansions,Yau Tsim Mong,,,758
26,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,,759
27,Yick Shing Mansion,Wan Chai,,,760
28,Yonking Garden,Tuen Mun,,,761
29,"10 Seahorse Lane, Beach Village, DiscoveryBay",Islands,,,764
0,"Block 5, Yar Chee Villas",Southern,,,765
1,"Hoi Kwun Mansion, Riveiera Gardens",Tsuen Wan,,,767
2,V Happy Valley,Wan Chai,,,768
3,Man Yue Mansion,Wong Tai Sin,,,769
4,"Tower 8, The Latitude",Wong Tai Sin,,,770
5,"Tower 1, Sorrento",Yau Tsim Mong,,,771
6,"Tower 3, Park Mediterranean",Sai Kung,,,772
7,"Block C, The Manhattan",Southern,,,773
8,"Tower 1, Harbourview Horizon Suites",Kowloon City,,,774
9,10 Po Yick Lane,Tai Po,,,775
10,"Tower 3, The Coronation",Yau Tsim Mong,,,776
11,YMCA of Hong Kong,Yau Tsim Mong,,,777
12,Ho Chung New Village,Sai Kung,,,778
13,Mount Pleasure,Sha Tin,,,779
14,Hong Kong Ocean Park Marriott Hotel,Southern,,,780
15,"Wah Sin House, Wah Kwai Estate",Southern,,,781
16,Fairview Park,Yuen Long,,,782
17,"Block 1, Phase 3, Festival City",Sha Tin,,,783
18,"Tower 1, Rambler Crest",Kwai Tsing,,,784
19,"Block B, Luk Yeung Sun Chuen",Tsuen Wan,,,785
20,Dorsett Mong Kok,Yau Tsim Mong,,,786
21,"Block 9, Bamboo Mansion, Whampoa Garden",Kowloon City,,,787
22,One Lasalle,Kowloon City,,,788
23,"Tower 1, One Kai Tak",Kowloon City,,,789
24,"Block B, Sunway Garden",Eastern,,,790
25,37 Celestial Heights,Kowloon City,,,791
26,"Block 5, Cronin Garden",Sham Shui Po,,,792
27,"Block 2, Stanford Villa",Southern,,,793
28,"Block 5, Fanling Town Center",North,,,794
29,"Willow Mansion, Taikoo Shing",Eastern,,,795
30,"Wo Hing House, Hing Wah (II) Estate",Eastern,,,796
0,Tseng Lan Shue Tsuen,Sai Kung,,,797
1,Fortune Villa,Central & Western,,,798
2,Courtyard By Marriott Hong Kong,Central & Western,,,799
3,Dorsett Tsuen Wan,Tsuen Wan,,,800
4,"292 Lockhart Road, Wan Chai",Wan Chai,,,801
5,"Kwai Yat House, Kwai Hong Court",Kwai Tsing,,,802
6,Convention Plaza,Wan Chai,,,804
7,"Block A, Elm Tree Tower",Wan Chai,,,805
8,Mognolia Mansion,Wan Chai,,,806
9,"Block 8, Hee Wong Terrance",Central & Western,,,807
10,"5th Street, Section I, Fairview Park",Yuen Long,,,808
11,"Seung Lai House, Wah Lai Estate",Kwai Tsing,,,809
12,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,,811
13,"Block 1, Garden Terrace",Central & Western,,,812
14,"Tower 10, Caribbean Coast",Islands,,,813
15,Sha Kok Mei Village,Sai Kung,,,814
16,"Hong Wo House, Cheung Hong Estate",Kwai Tsing,,,815
17,"Block 2, Hong Sing Garden",Sai Kung,,,816
18,Arezzo,Central & Western,,,817
19,Escapade,Central & Western,,,818
20,Dorsett Wanchai,Wan Chai,,,819
21,"Ka Kit House, Ka Lung Court",Southern,,,820
22,Novotel Century Hong Kong,Wan Chai,,,821
23,"Block 1, South Wave Court",Southern,,,822
24,Yale Lodge,Central & Western,,,823
25,"Greenpeak Villa, Wong Chuk Shan San Tsuen",Sai Kung,,,824
26,Novotel Century Hong Kong,Wan Chai,,,825
27,Ramada Hong Kong Harbour View Hotel,Central & Western,,,826
28,"Tower A, Chungking Mansions",Yau Tsim Mong,,,827
29,Peak Garden Court,Kowloon City,,,828
