,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
245,"Ming Yan House, Ming Nga Court",Tai Po,,620,
246,"Tower 8, The Leighton Hill",Wan Chai,,621,
247,"Block A, Elm Tree Towers",Wan Chai,,622,
248,"Tower 1A, Century Link",Islands,,623,
249,"Tower 3A, Tierra Verde",Kwai Tsing,,624,
250,Ma Kwu Lam Village,Tai Po,,625,
251,Hang Shun Mansions,Wan Chai,,626,
252,"Sun On Building, 484-496, Queen’s Road West",Central & Western,,627,
253,"Block 2, New Jade Garden",Eastern,,628,
254,"Mei Sang House, Shek Kip Mei Estate",Sham Shui Po,,629,
255,Hang Shun Mansions,Wan Chai,,630,
256,"Tower 2, Robinson Place",Central & Western,,631,
257,"Siu Fu House, Siu Kwai Court",Tuen Mun,,632,
258,"Block 6, Casa De Oro",Yuen Long,,633,
259,Kadoorie Avenue Mansion,Kowloon City,,634,
260,"Tat Hei House, Po Tat Estate",Kwun Tong,,637,
261,Po Hong Mansion,Tai Po,,638,
262,"Kan Wah House, Lok Wah North Estate",Kwun Tong,,639,
263,The Morgan,Central & Western,,640,
264,Headland Hotel,Islands,,641,
265,Sheung Heu Building,Kwun Tong,,643,
266,8 Kennedy Road,Central & Western,,644,
267,"Belleve Court, Pictorial Garden",Sha Tin,,645,
268,"Block 15, Caribbean Coast",Islands,,646,
269,Renaissance Harbour View Hotel,Wan Chai,,647,
270,The Park Lane Hong Kong,Wan Chai,,648,
271,"114 Broadway, Mei Foo Sun Chuen",Sham Shui Po,,649,
272,Page 148,Yau Tsim Mong,,650,
273,"Block 11, Caribbean Coast",Islands,,651,
274,"On Tao House, Cheung On Estate",Kwai Tsing,,652,
275,Best Western Grand Hotel,Yau Tsim Mong,,653,
276,"Pik Lam House, Tsui Lam Estate",Sai Kung,,654,
277,"Block 8, Provident Centre",Eastern,,655,
278,"Block 48, Heng Fa Chuen",Eastern,,656,
279,Crowne Plaza Hong Kong Causeway Bay,Wan Chai,,657,
280,Tsing Fai San Tsuen,Kwai Tsing,,658,
281,"On Tao House, Cheung On Estate",Kwai Tsing,,659,
282,Park Hotel Hong Kong,Yau Tsim Mong,,660,
283,"Block 4, Hong Kong Parkview",Southern,,661,
284,"Hong Yat House, Yat Tung Estate",Islands,,662,
285,"Fu Loy House, Fu Cheong Estate",Sham Shui Po,,663,
286,Kingston Lodge,Sha Tin,,664,
287,"Tower 7, The Waterfront",Yau Tsim Mong,,665,
288,"Tower 7, The Waterfront",Yau Tsim Mong,,666,
289,Chek Nai Ping,Sha Tin,,667,
290,Elegant Terrace,Wan Chai,,668,
291,Metropark Hotel Mongkok,Yau Tsim Mong,,669,
292,Ko Po Tsuen,Yuen Long,,670,
293,"Palm Drive, Redhill Peninsula",Southern,,671,
294,YMCA of Hong Kong,Yau Tsim Mong,,672,
295,"Block B, Paterson Building",Wan Chai,,673,
296,"Cheung Chi House, Cheung Wah Estate",North,,674,
297,Hong Kong Skycity Marriott Hotel,Islands,,675,
298,Dorsett Wanchai,Wan Chai,,676,
299,"Pik Shan House, Shek Pai Wan Estate",Southern,,677,
300,"Lung Wah House, Lower Wong Tai Sin Estate",Wong Tai Sin,,678,
301,L’ Hotel Island South,Southern,,679,
302,"Block 4, Phase 3, Metrocity",Sai Kung,,680,
303,L’ Hotel Island South,Southern,,681,
304,"Tower 10, Mount Pavilia",Sai Kung,,682,
305,Fairview Height,Central & Western,,683,
306,"Lowrise 9, Mayfair by the Sea I",Tai Po,,684,
307,"Villa San De Oka, San Uk Ka Tsuen",Tai Po,,685,
308,Artisan House,Central & Western,,686,
309,"Tower 2A, Century Link",Islands,,687,
310,"Block 9, Deerhill Bay",Tai Po,,688,
311,The Manhattan,Southern,,689,
312,The Avenue,Wan Chai,,690,
313,"Siu Fu House, Siu Kwai Court",Tuen Mun,,691,
314,"Block D, Villa Lotto",Wan Chai,,692,
315,Bishop Lei International House,Central & Western,,693,
316,Pak Fai Mansion,Central & Western,,694,
317,Lai Yee Court,Eastern,,695,
318,"Block 17, Mei Fai Court, South Horizons",Southern,,696,
319,"Block 17, Mei Fai Court, South Horizons",Southern,,697,
320,"Block 4, Laguna City",Kwun Tong,,698,
321,Panorama Gardens,Central & Western,,699,
322,Dorsett Kwun Tong,Kwun Tong,,700,
323,"Tower 6, The Papillons",Sai Kung,,701,
324,"Tientsin House, Tsuen Wan Centre",Tsuen Wan,,702,
325,"Marigold House, So Uk Estate",Sham Shui Po,,703,
326,Kwun Tong Mansion,Kwun Tong,,704,
327,"Block B, Fuk Ming Building",Yau Tsim Mong,,705,
328,Boland Court Phase 1,Kowloon City,,706,
329,Oceanic Mansion,Eastern,,707,
330,Glory Heights,Central & Western,,708,
