,Unnamed: 0,Unnamed: 1,地區,大廈名稱,家居檢疫最後日期
24,79.0,,觀塘區,平田邨平誠樓,13/02/2020
25,80.0,,北區,莆上村 15 號,13/02/2020
26,81.0,,北區,牽晴間 11 座,13/02/2020
27,82.0,,沙田區,銀禧花園 5 座,13/02/2020
28,83.0,,沙田區,大圍名城 2 期 5 座,13/02/2020
29,84.0,,深水埗區,福華街 206 號榮安大廈,13/02/2020
1,85.0,,元朗區,嘉湖山莊賞湖居 5 座,13/02/2020
2,86.0,,沙田區,沙田中心廣寧大廈,14/02/2020
3,87.0,,黃大仙區,鳳德村碧鳳樓,16/02/2020
4,88.0,,葵青區,石貝街 18 號葵涌大廈 A 座,18/02/2020
