,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
41,"Block 7, Oscar by the Sea",Sai Kung,,725,
42,"Tower 3, Park Delvedere",Sha Tin,,726,
43,"Pik Ngan House, Shek Pai Wan Estate",Southern,,727,
44,Hong Kong Reese Hotel,Southern,,728,
45,Ha Tsuen Shi,Yuen Long,,729,
46,"Block 30A, Park Yoho Genova",Yuen Long,,730,
47,Dorsett Kwun Tong,Kwun Tong,,731,
48,"Tower 6, Banyan Garden",Sham Shui Po,,732,
49,"Best Western Grand Hotel, Tsim Sha Tsui",Yau Tsim Mong,,733,
50,"Yuet Yat House, Yat Tung (II) Estate",Islands,,734,
51,"Friendship Court, 12 -22 Blue Pool Road",Wan Chai,,735,
52,Parker 33,Eastern,,736,
53,"Phase 1, Blessings Garden",Central & Western,,737,
54,Dragon Court,Central & Western,,739,
55,Aigburth,Central & Western,,740,
56,"Wang Ngai House, Cheung Wang Estate",Kwai Tsing,,741,
57,"Block A, Elm Tree Towers",Wan Chai,,742,
58,"Tower 2B, Century Link",Islands,,743,
59,Crowfields Court,Kowloon City,,745,
60,35 Station Lane,Kowloon City,,746,
61,"Tower 1A, Century Link",Islands,,747,
62,"Mei Wah Court, South Horizon",Southern,,748,
63,"La Rossa A, Coastal Skyline",Islands,,749,
64,"Tung Hiu House, Tung Yuk Court",Eastern,,750,
65,"Tower 2, Queen’s Terrace",Central & Western,,751,
66,"Tientsin House, Tsuen Wan Centre",Tsuen Wan,,752,
67,Headland Hotel,Islands,,753,
68,"Tak Fu House, Hau Tak Estate",Sai Kung,,754,
69,On Keung Building,Wong Tai Sin,,755,
70,Luxury Court,Yau Tsim Mong,,756,
71,Tung Hei Court,Kowloon City,,757,
72,Windsor Mansions,Yau Tsim Mong,,758,
73,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,759,
74,Yick Shing Mansion,Wan Chai,,760,
75,Yonking Garden,Tuen Mun,,761,
76,"10 Seahorse Lane, Beach Village, Discovery Bay",Islands,,764,
77,"Block 5, Yar Chee Villas",Southern,,765,
78,"Hoi Kwun Mansion, Riveiera Gardens",Tsuen Wan,,767,
79,V Happy Valley,Wan Chai,,768,
80,Man Yue Mansion,Wong Tai Sin,,769,
81,"Tower 8, The Latitude",Wong Tai Sin,,770,
82,"Tower 1, Sorrento",Yau Tsim Mong,,771,
83,"Tower 3, Park Mediterranean",Sai Kung,,772,
84,"Block C, The Manhattan",Southern,,773,
85,"Tower 1, Harbourview Horizon Suites",Kowloon City,,774,
86,10 Po Yick Lane,Tai Po,,775,
87,"Tower 3, The Coronation",Yau Tsim Mong,,776,
88,YMCA of Hong Kong,Yau Tsim Mong,,777,
89,Ho Chung New Village,Sai Kung,,778,
90,Mount Pleasure,Sha Tin,,779,
91,Hong Kong Ocean Park Marriott Hotel,Southern,,780,
92,"Wah Sin House, Wah Kwai Estate",Southern,,781,
93,Fairview Park,Yuen Long,,782,
94,"Block 1, Phase 3, Festival City",Sha Tin,,783,
95,"Tower 1, Rambler Crest",Kwai Tsing,,784,
96,"Block B, Luk Yeung Sun Chuen",Tsuen Wan,,785,
97,Dorsett Mongkok,Yau Tsim Mong,,786,
98,"Block 9, Bamboo Mansion, Whampoa Garden",Kowloon City,,787,
99,One Lasalle,Kowloon City,,788,
100,"Tower 1, One Kai Tak",Kowloon City,,789,
101,"Block B, Sunway Garden",Eastern,,790,
102,37 Celestial Heights,Kowloon City,,791,
103,"Block 5, Cronin Garden",Sham Shui Po,,792,
104,"Block 2, Stanford Villa",Southern,,793,
105,"Block 5, Fanling Town Center",North,,794,
106,"Willow Mansion, Taikoo Shing",Eastern,,795,
107,"Wo Hing House, Hing Wah (II) Estate",Eastern,,796,
108,Tseng Lan Shue Tsuen,Sai Kung,,797,
109,Fortune Villa,Central & Western,,798,
110,Courtyard By Marriott Hong Kong,Central & Western,,799,
111,Dorsett Tsuen Wan,Kwai Tsing,,800,
112,"292 Lockhart Road, Wan Chai",Wan Chai,,801,
113,"Kwai Yat House, Kwai Hong Court",Kwai Tsing,,802,
114,Convention Plaza,Wan Chai,,804,
115,"Block A, Elm Tree Tower",Wan Chai,,805,
116,Mognolia Mansion,Wan Chai,,806,
117,"Block 8, Hee Wong Terrance",Central & Western,,807,
118,"5th Street, Section I, Fairview Park",Yuen Long,,808,
119,"Seung Lai House, Wah Lai Estate",Kwai Tsing,,809,
120,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,811,
121,"Block 1, Garden Terrace",Central & Western,,812,
122,"Tower 10, Caribbean Coast",Islands,,813,
123,Sha Kok Mei Village,Sai Kung,,814,
124,"Hong Wo House, Cheung Hong Estate",Kwai Tsing,,815,
125,"Block 2, Hong Sing Garden",Sai Kung,,816,
126,Arezzo,Central & Western,,817,
127,Escapade,Central & Western,,818,
128,Dorsett Wanchai,Wan Chai,,819,
129,"Ka Kit House, Ka Lung Court",Southern,,820,
130,Novotel Century Hong Kong,Wan Chai,,821,
131,"Block 1, South Wave Court",Southern,,822,
132,Yale Lodge,Central & Western,,823,
133,"Greenpeak Villa, Wong Chuk Shan San Tsuen",Sai Kung,,824,
134,Novotel Century Hong Kong,Wan Chai,,825,
135,Ramada Hong Kong Harbour View Hotel,Central & Western,,826,
136,"Tower A, Chungking Mansions",Yau Tsim Mong,,827,
137,Peak Garden Court,Kowloon City,,828,
138,Peak Garden Court,Kowloon City,,829,
139,"Tower 5, Aria",Wong Tai Sin,,830,
140,Lau Kwai Fong Hotel,Central & Western,,832,
141,"Block 2, Hong Kong Garden",Tsuen Wan,,833,
142,"Tower 14, Hong Kong Parkview",Southern,,834,
143,"Tower 7, Bauhinia Garden",Sai Kung,,835,
144,Resiglow,Wan Chai,,836,
145,Hang Shun Mansions,Wan Chai,,838,
146,Metropark Hotel Mongkok,Yau Tsim Mong,,839,
147,"Ping Sin House, Ping Tin Estate",Kwun Tong,,840,
148,St. Moritz,Sha Tin,,843,
149,35 Station Lane,Kowloon City,,844,
150,38 Jordan Road,Yau Tsim Mong,,845,
151,"Block 2, Laguna City",Kwun Tong,,846,
152,Princeton Tower,Central & Western,,847,
153,"Chau Kwai House, Kwai Chung Estate",Kwai Tsing,,848,
154,292 Lockhart Road,Wan Chai,,849,
155,"Seabird Lane, Discovery Bay",Islands,,850,
156,"Tower 2, One Homantin",Kowloon City,,851,
157,Best Western Plus Hotel Hong Kong,Central & Western,,852,
158,"Block 1, Dragon Centre",Wan Chai,,853,
159,"Ko Fung House, Ko Cheung Court",Kwun Tong,,854,
160,"Kan Tau Tsuen, Kwan Tei",North,,855,
161,"Chuen Shui House, Shui Pin Wai Estate",Yuen Long,,856,
162,United Mansion,Wan Chai,,857,
163,"Block B, Lung Fung Garden",North,,858,
164,"Block B, Lung Fung Garden",North,,859,
165,"Block B, Lung Fung Garden",North,,860,
166,Le Billionnaire,Kowloon City,,862,
167,"Sheung Yan House, Sheung Tak Estate",Sai Kung,,863,
168,Rose Gardens,Central & Western,,865,
169,Bishop Lei International House,Central & Western,,866,
170,Dorsett Tsuen Wan,Kwai Tsing,,867,
171,"Fai Shing House, May Shing Court",Sha Tin,,868,
172,Green Valley Mansion,Wan Chai,,869,
173,Kei Ling Ha San Wai,Tai Po,,870,
174,Silka Tsuen Wan Hotel,Kwai Tsing,,871,
175,"Hang King House, Siu Shan Court",Tuen Mun,,872,
176,Borrett Mansions,Central & Western,,873,
177,Dorsett Wanchai,Wan Chai,,874,
178,Kam Tong Building,Yau Tsim Mong,,875,
179,"Block 4, Locwood Court, Kingswood Villas",Yuen Long,,876,
180,Island View,Islands,,878,
181,"Block 4, Laguna City",Kwun Tong,,879,
182,Tagus Residences,Wan Chai,,881,
183,Kei Pik Shan,Sai Kung,,882,
184,Blue Pool Court,Wan Chai,,883,
185,"Choi Shing House, Choi Tak Estate",Kwun Tong,,884,
186,"Block B, Monticello",Central & Western,,885,
187,Ramada Hong Kong Grand View,Eastern,,886,
188,Kam Fat Building,Tuen Mun,,887,
189,"Tower 2, The Metropolis Residence",Kowloon City,,888,
190,"Block 33, Baguio Villa (Lower)",Southern,,889,
191,"Block C, Garden Vista",Sha Tin,,890,
192,Tung Hei Court,Kowloon City,,891,
193,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,892,
194,"Orchid Path, The Westwood, (Phase 1C), Palm Springs",Yuen Long,,893,
195,Borrett Mansions,Central & Western,,894,
196,Kensington House,Kowloon City,,895,
197,"Tower 1, Festival City (Phase 2)",Sha Tin,,896,
198,"Tower 2, Island Crest",Central & Western,,897,
199,Ha Shan Kai Wat,North,,898,
200,Lexington Hill,Central & Western,,899,
201,Robinson Place,Central & Western,,900,
202,Winfield Gardens,Wan Chai,,901,
203,Yan Sau Wai,Yuen Long,,902,
204,"Block 7, Bauhinia Garden",Sai Kung,,903,
205,San Hui Village,Tuen Mun,,905,
206,"Chiu Man House, Oi Man Estate",Kowloon City,,912,
207,"Chiu Man House, Oi Man Estate",Kowloon City,,913,
208,"Ko Ching House, Ko Cheung Court",Kwun Tong,,914,
209,123 Pak Tai Street,Kowloon City,,915,
210,Holiday Inn Express Hong Kong Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
211,40-42 Circular Pathway,Central & Western,,916,
212,"Block 4, South Horizons",Southern,,917,
213,"Fujian Hotel, Mirador Mansion",Yau Tsim Mong,,918,
214,Mau Po Road,Sai Kung,,919,
215,Dorsett Wanchai,Wan Chai,,920,
216,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,921,
217,"Kat Hing Wai, Kam Tin",Yuen Long,,922,
218,Lakeview Garden (House Zone),Sha Tin,,923,
219,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,924,
220,"Tak Cheung House, Tak Long Estate",Kowloon City,,925,
221,"Chak Fai House, Tin Chak Estate",Yuen Long,,926,
222,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,928,
223,Yick Shing Mansion,Wan Chai,,929,
224,Wah Yu Court,Eastern,,932,
225,109 Temple Street,Yau Tsim Mong,,933,
226,"Section C, 5th Street, Fairview Park",Yuen Long,,934,
227,Chung Hom Kok Road,Southern,,935,
228,"Hin Kwai House, Hin Keng Estate",Sha Tin,,936,
229,Dorsett Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
230,Courtyard By Marriott Hong Kong,Central & Western,,,
231,J Residence,Wan Chai,,937,
232,288 Des Voeux Road West,Central & Western,,938,
233,Hang Hau Village,Sai Kung,,939,
234,Floral Villas,Sai Kung,,940,
235,"Block 2, Hong Kong Garden",Tsuen Wan,,943,
236,"Kin Tai House, Fu Tai Estate",Tuen Mun,,944,
237,"Block 2, Royal Jubilee",North,,945,
238,"Block 6, Coastal Skyline",Islands,,946,
239,"Block D, Pearl Gardens",Central & Western,,947,
240,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,948,
241,The Imperial Hotel,Yau Tsim Mong,,949,
242,Prudential Hotel,Yau Tsim Mong,,949,
243,Fan Tin Tsuen,Yuen Long,,950,
244,"Tower 2, Island Crest",Central & Western,,953,
245,"Block 6, New Jade Garden",Eastern,,954,
246,Tai Tseng Wai Tsuen,Yuen Long,,955,
247,"Block 8, Seaview Garden",Tuen Mun,,956,
248,Wah Yu Court,Eastern,,957,
249,Wah Yu Court,Eastern,,958,
250,Silka Tsuen Wan Hotel,Tsuen Wan,,959,
251,"Block B1, Yau Tong Industrial City",Kwun Tong,,960,
252,Prat Mansions,Yau Tsim Mong,,961,
253,"Han Kung Mansion, Kam Din Terrace, Taikoo Shing",Eastern,,962,
254,Ramada Hong Kong Grand View,Eastern,,963,
255,Sunderland Estate,Kowloon City,,964,
256,"Cheung Fai Building, 45 - 47 Cochrane Street",Central & Western,,965,
257,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,966,
258,"Harmony Court, 127 Bonham Strand",Central & Western,,968,
259,"Block 2, Sceneway Garden",Kwun Tong,,969,
260,Dorsett Tsuen Wan,Kwai Tsing,,970,
261,"Headland Drive, Discovery Bay",Islands,,971,
262,"Golden Mansion, 83-85 Chatham Road South",Yau Tsim Mong,,972,
263,"Hillier Building, 273 - 275 Queen's Road Central",Central & Western,,973,
264,Tung Hei Court,Kowloon City,,974,
265,JC Castle,Tai Po,,975,
266,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,976,
267,"Block 30, Park Island",Tsuen Wan,,977,
268,Branksome Grande,Central & Western,,978,
269,V Wanchai,Wan Chai,,979,
270,Constellation Cove,Tai Po,,981,
271,"Block 6, Royal Ascot",Sha Tin,,982,
272,"Sau Ching House, Sau Mau Ping Estate",Kwun Tong,,983,
273,"Crestmont Villa, Discovery Bay",Islands,,984,
274,"Tower 1, Harbour Green",Yau Tsim Mong,,985,
275,Bishop Lei International House,Central & Western,,987,
276,"Block 2, Carado Garden",Sha Tin,,988,
277,"Prince Apartments, 226 Prince Edward Road West",Kowloon City,,989,
278,Kennedy Park at Central,Central & Western,,990,
279,YMCA of Hong Kong,Yau Tsim Mong,,992,
280,"Block 3, Garden Terrace",Central & Western,,993,
281,Tin Sam Village,Yuen Long,,996,
282,St Moritz,Sha Tin,,997,
283,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,998,
284,Courtyard By Marriott Hong Kong,Central & Western,,1000,
285,Beau Cloud Mansion,Central & Western,,1001,
286,"Block 1, Pine Villas",Tuen Mun,,1002,
287,Yan Sau Wai,Yuen Long,,1003,
288,"Fu Tai House, Tai Wo Hau Estate",Kwai Tsing,,1004,
289,"Block 8, Seaview Garden",Tuen Mun,,1005,
290,"Block 2, Carado Garden",Sha Tin,,1007,
291,"Block 3, Garden Terrace",Central & Western,,1009,
292,"Tower 11, Avignon",Tuen Mun,,1013,
293,"Shopping Centre, Melody Garden",Tuen Mun,17/03/2020,,"120 , 121, 244"
294,CCT Telecom Building,Sha Tin,17/03/2020,,"191, 217"
295,Hong Kong Baptist Hospital,Kowloon City,17/03/2020,,"195, 243"
296,"Block 1, Kwai Tak Industrial Centre",Kwai Tsing,17/03/2020,,"229, 337, 338"
297,Bank of China building,Central & Western,18/03/2020,,"106, 183, 204"
298,CCT Telecom Building,Sha Tin,18/03/2020,,"191, 217, 373"
299,"ICBC Tower, Garden Road",Central & Western,18/03/2020,,"195, 339"
300,Tung Chung Crescent,Islands,19/03/2020,,"212, 271"
301,Cheung Lung Industrial Building,Sham Shui Po,19/03/2020,,"291, 312, 372, 391, 429"
302,97 Hollywood Road,Central & Western,20/03/2020,,"266, 319"
303,62 Hollywood Road,Central & Western,20/03/2020,,"266, 342"
304,Manson House,Yau Tsim Mong,20/03/2020,,"428, 855"
305,Ho Lee Commercial Building,Central & Western,22/03/2020,,"182, 227, 276, 343, 360, 362, 367, 384, 386, 387, 389, 394, 411, 422, 432, 433, 440, 442, 453, 497, 501, 511, 513, 576, 627, 746, 877"
306,Two Chinachem Plaza,Central & Western,22/03/2020,,"563, 683"
307,76 Jaffe Road,Wan Chai,24/03/2020,,"276, 343, 362, 367, 386, 387, 389, 413, 432, 433, 434, 440, 477, 499, 501, 509, 513, 519, 524, 576, 635, 638, 707, 746, 864, 877, 951"
308,9 Knutsford Terrace,Yau Tsim Mong,24/03/2020,,"387, 389, 395, 411, 428, 433, 447, 450, 458, 462, 466,  483, 484, 498, 501, 510, 511, 512, 513, 514, 517, 526, 573, 581, 614, 615, 625, 663, 670, 674, 746, 755, 846, 863, 904, 906, 998"
309,10-11 Knustsford Terrace,Yau Tsim Mong,24/03/2020,,"483, 516"
310,MW Plaza,Yau Tsim Mong,24/03/2020,,"567, 842"
311,25 Carnarvon Road,Yau Tsim Mong,24/03/2020,,"662, 687, 702, 704, 705, 758, 759"
312,Lok Sing Centre,Wan Chai,25/03/2020,,"903, 923, 925, 932, 954"
313,23 Luard Road,Wan Chai,26/03/2020,,"682, 857"
314,82 Jaffe Road,Wan Chai,27/03/2020,,"276, 362, 367, 386, 387, 389, 432, 433, 440, 481, 501, 513, 531, 626, 746, 877, 973"
315,K11 Musea,Yau Tsim Mong,27/03/2020,,"687, 702, 704, 705, 758, 759"
316,iSQUARE,Yau Tsim Mong,28/03/2020,,"504, 756"
317,10 Knutsford Terrace,Yau Tsim Mong,28/03/2020,,"567, 842"
318,23 Yip Kan Street,Southern,28/03/2020,,"719, 801, 849"
319,Central Government Pier,Central & Western,31/03/2020,,717
320,Global Trade Square,Southern,31/03/2020,,719
321,Yat Tung Shopping Centre,Islands,31/03/2020,,753
322,Precious Blood Hospital,Sham Shui Po,31/03/2020,,757
323,Cheong Ip Building,Wan Chai,31/03/2020,,760
324,Ming Fung Building,Wan Chai,31/03/2020,,797
325,Prince's Building,Central & Western,31/03/2020,,812
326,Beverly Garden Shopping Centre,Sai Kung,31/03/2020,,835
327,Beverly Garden,Sai Kung,31/03/2020,,903
328,D2 Place One,Sham Shui Po,31/03/2020,,926
329,Sterling Centre,Sham Shui Po,31/03/2020,,926
330,Cheung Fat Building,Yuen Long,31/03/2020,,926
331,Human Health Clinic (Yuen Long),Yuen Long,31/03/2020,,976
332,Shek Kip Mei Reporting Centre And PTU KW Operational Base,Sham Shui Po,01/04/2020,,"663, 854"
333,Hong Kong Sanatorium & Hospital,Wan Chai,01/04/2020,,799
334,Union Hospital,Sha Tin,01/04/2020,,799
335,Westlands Centre,Eastern,01/04/2020,,"801, 960"
336,Hong Kong Sanatorium & Hospital,Wan Chai,01/04/2020,,830
337,Queensway Plaza,Central & Western,01/04/2020,,863
338,Convention Plaza Shopping Arcade,Wan Chai,01/04/2020,,865
339,York Place,Wan Chai,01/04/2020,,923
340,"Kwai Tsui House, Wan Tsui Estate",Eastern,01/04/2020,,954
341,Cheung Wah Shopping Centre,North,02/04/2020,,855
342,50 Wellington Street,Central & Western,02/04/2020,,865
343,38-46 Hennessy Road,Wan Chai,02/04/2020,,923
344,Wing On Plaza,Yau Tsim Mong,02/04/2020,,923
345,Wang Cheung Industrial Building,Kwun Tong,02/04/2020,,932
346,Perkins Road,Wan Chai,02/04/2020,,935
347,Li Po Chun Chambers,Central & Western,02/04/2020,,961
348,1–29 Tang Lung Street,Wan Chai,03/04/2020,,865
349,Tin Yiu Plaza,Yuen Long,03/04/2020,,876
350,110-116 Jaffe Road,Wan Chai,03/04/2020,,923
351,88 Gloucester Road,Wan Chai,03/04/2020,,"923, 925"
352,Wings Building,Central & Western,03/04/2020,,957
353,Ecumenical Christian Building,Yau Tsim Mong,03/04/2020,,961
354,Lee Garden One,Wan Chai,03/04/2020,,968
355,Lee Garden Two,Wan Chai,03/04/2020,,972
356,Shun Tak Centre,Central & Western,04/04/2020,,"923, 932"
357,Windsor House,Wan Chai,05/04/2020,,"903, 925, 944"
358,Ching Long Shopping Centre,Kowloon City,05/04/2020,,925
359,57-58 Chuen Lung Village,Tsuen Wan,05/04/2020,,936
360,Bank Centre Mall,Yau Tsim Mong,05/04/2020,,936
361,New Town Plaza,Sha Tin,05/04/2020,,936
362,MOKO,Yau Tsim Mong,05/04/2020,,936
363,"Choi Chu House, Choi Yuen Estate",North,05/04/2020,,945
364,Chai Wan Municipal Services Building Chai Wan Market,Eastern,05/04/2020,,958
365,Hong Kong Adventist Hospital,Wan Chai,06/04/2020,,935
366,Shek Wu Hui Municipal Services Building,North,06/04/2020,,945
367,Union Plaza,North,06/04/2020,,945
368,Yue Wan Market,Eastern,06/04/2020,,958
369,"Administration Building, Yue Wan Estate",Eastern,06/04/2020,,958
370,Domain,Kwun Tong,06/04/2020,,960
371,121 Bonham Strand,Central & Western,06/04/2020,,971
372,Emperor Group Centre,Wan Chai,06/04/2020,,972
373,Melbourne Plaza,Central & Western,06/04/2020,,978
374,Pat Tat Industrial Building,Wong Tai Sin,06/04/2020,,978
375,The Landmark Mandarin Oriental Hotel,Central & Western,06/04/2020,,978
376,New East Ocean Centre,Yau Tsim Mong,07/04/2020,,955
377,Festival Walk,Kowloon City,07/04/2020,,955
378,176 Queen's Road,Central & Western,07/04/2020,,972
379,China Insurance Group Building,Central & Western,07/04/2020,,972
380,9 Queen's Road Central,Central & Western,07/04/2020,,972
381,Kingswood Richly Plaza,Yuen Long,07/04/2020,,996
382,Golden Mansion,Yau Tsim Mong,08/04/2020,,972
383,8 Hart Avenue,Yau Tsim Mong,08/04/2020,,972
384,World-Wide House,Central & Western,08/04/2020,,981
385,Pak Yee Building,Yuen Long,08/04/2020,,996
386,On Ning Building,Yuen Long,08/04/2020,,996
387,+WOO,Yuen Long,09/04/2020,,976
