,地區,大廈名單,曾有涉及個案最後到訪的日期/報告日期,相關確診/疑似個案編號
167,荃灣,祈德尊新邨 A座,,1475
168,黃大仙,慈民邨民健樓,,1477
169,黃大仙,鳳德邨黛鳳樓,,1478
170,深水埗,寶麗苑寶康閣,,1479
171,西貢,頌明苑賢明閣,,1480
172,深水埗,麗翠苑麗柏閣,,1481
173,元朗,康德閣,,1482
174,油尖旺,文利大廈,,1483
175,觀塘,啟業邨啟樂樓,,1484
176,黃大仙,彩輝邨彩華樓,,1487
177,屯門,龍門居 7座,,1490
178,黃大仙,鳳禮苑鳳禧閣,,1491
179,黃大仙,竹園邨鵬程苑,,1492
180,油尖旺,荔塘大廈 B座,,1493
181,荃灣,悅來酒店,,1495
182,沙田,隆亨邨善心樓,,1497
183,九龍城,立基大廈,,1498
184,荃灣,悅來酒店,,1499
185,西貢,怡心園 1座,,1501
186,沙田,愉田苑愉逸閣,,1506
187,黃大仙,新蒲崗爵祿街 36號,,1507
188,黃大仙,新蒲崗爵祿街 36號,,1508
189,黃大仙,慈樂邨樂信樓,,1509
190,黃大仙,嘉華大廈,,1510
191,九龍城,嶺南大廈,,1511
192,觀塘,翠屏南邨翠樂樓,,1512
193,深水埗,東廬大樓 A座,,1513
194,黃大仙,慈正邨正遠樓,,1514
195,黃大仙,慈正邨正泰樓,,1515
196,油尖旺,荔塘大廈 B座,,1516
197,黃大仙,慈民邨民健樓,,1517
198,東區,小西灣邨瑞發樓,,1518
199,黃大仙,慈正邨正怡樓,,1519
200,黃大仙,慈民邨民健樓,,1520
201,黃大仙,慈愛苑愛聰閣,,1521
202,黃大仙,慈愛苑愛聰閣,,1522
203,深水埗,喜雅 1座,,1542
204,葵青,石蔭東邨蔭裕樓,,1543
205,黃大仙,彩雲邨長波樓,,1544
206,深水埗,東廬大樓,,1545
207,屯門,寶田中轉房屋 2座,,1546
208,觀塘,安泰邨和泰樓,,1547
209,觀塘,花園大廈畫眉樓,,1548
210,黃大仙,慈樂邨樂歡樓,,1549
211,東區,東駿苑金駿閣,,1550
212,黃大仙,慈正邨正怡樓,,1551
213,黃大仙,慈正邨正怡樓,,1552
214,黃大仙,富山邨富信樓,,1553
215,黃大仙,慈正邨正康樓,,1555
216,黃大仙,慈民邨民裕樓,,1556
217,深水埗,順景閣,,1557
218,西貢,相思灣村 53號,,1558
219,西貢,璟瓏軒,,1559
220,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1560
221,屯門,海慧花園 1座,,1561
222,黃大仙,慈康邨康德樓,,1562
223,黃大仙,樂富邨樂民樓,,1563
224,黃大仙,慈民邨民裕樓,,1564
225,黃大仙,慈民邨民裕樓,,1565
226,黃大仙,慈民邨民裕樓,,1566
227,黃大仙,慈康邨康添樓,,1567
228,北區,綠悠軒 5座,,1568
229,九龍城,寶成洋樓,,1569
230,觀塘,裕民中心 3座,,1570
231,油尖旺,文蔚街 17-19號 慶豐燒鵝餐廳小廚,01/07/2020,1317
232,灣仔,勝華樓 凡高廚房,01/07/2020,1319
233,荃灣,嘉達環球中心 陶源酒家,01/07/2020,1358
234,沙田,京瑞廣場 2期 譚仔雲南米線,01/07/2020,1385
235,觀塘,牛池灣街市熟食中 心 德利餐廳,01/07/2020,1414
236,西貢,天晉匯 名苑酒家,01/07/2020,1521
237,屯門,屯門市中心 定食 8,01/07/2020,"1402, 1403"
238,九龍城,九龍醫院醫管局資 訊大樓,02/07/2020,1292
239,九龍城,家居庭(第 12期) 黃埔天地,02/07/2020,1296
240,九龍城,黃埔花園第 11期 聚寶坊,02/07/2020,1296
241,東區,丹拿花園第 3座,02/07/2020,1296
242,東區,港運城,02/07/2020,1296
243,油尖旺,通菜街 113-115號,02/07/2020,1296
244,屯門,香港內河碼頭 建 榮飯堂,02/07/2020,"1269, 1427, 1432, 1490"
245,深水埗,青山道 261號,03/07/2020,1263
246,離島,香港迪士尼樂園酒 店,03/07/2020,1292
247,東區,華蘭路 12A-12H號 男女煮角,03/07/2020,1304
248,灣仔,希慎廣場 一風堂,03/07/2020,1319
249,灣仔,東美商業中心,03/07/2020,1319
250,黃大仙,荷里活廣場 麥當 勞,03/07/2020,1429
251,深水埗,欽州街 60號,04/07/2020,1263
252,沙田,馬鞍山廣場,04/07/2020,1292
253,油尖旺,朗豪坊,04/07/2020,1297
254,油尖旺,旺角道 30-36號 麥當勞,04/07/2020,1305
255,九龍城,拔萃男書院附屬小 學,04/07/2020,1313
256,油尖旺,恆豐中心 大食代,04/07/2020,1313
257,荃灣,麗城薈三期 皇庭 匯,04/07/2020,1313
258,油尖旺,海港城 Shake Shack,04/07/2020,1319
259,灣仔,銅鑼灣廣場 極尚 大喜屋日本料理,04/07/2020,1319
260,灣仔,盧押道 5號 Feather & Bone,04/07/2020,1319
261,觀塘,清水灣道 8號 匯 八坊商場,04/07/2020,1322
262,黃大仙,黃大仙中心南館 金記冰室,04/07/2020,1358
263,黃大仙,彩雲商場 彩雲街 市,04/07/2020,1361
264,觀塘,鯉魚門市政大廈,04/07/2020,1368
265,沙田,水泉澳廣場 太子 燒味餐廳,04/07/2020,1379
266,油尖旺,柯士甸廣場,04/07/2020,1394
267,油尖旺,港景匯商場,04/07/2020,1394
268,屯門,東威閣地庫商場,04/07/2020,1402
269,屯門,栢麗廣場,04/07/2020,1403
270,觀塘,坪石邨玉石樓 彬記粥麵美食,04/07/2020,"1269, 1283, 1291, 1297, 1322, 1361, 1388, 1414, 1456, 1457"
271,沙田,瀝源商場,05/07/2020,1293
272,沙田,大圍道 13號,05/07/2020,1294
273,沙田,新城市廣場,05/07/2020,1294
274,油尖旺,旺角城大廈,05/07/2020,1304
275,黃大仙,彩雲商場 麥當勞,05/07/2020,1305
276,荃灣,荃灣廣場 牛涮鍋,05/07/2020,1313
277,灣仔,香港萬麗海景酒店,05/07/2020,1313
278,灣仔,利舞臺廣場 玉桃 軒,05/07/2020,1319
279,黃大仙,文德樓,05/07/2020,1322
280,觀塘,觀塘廣場 龍寶酒 家,05/07/2020,1332
281,西貢,都會駅 唐記包點,05/07/2020,1356
282,油尖旺,文蔚街 24號 新華 寶城餐廳,05/07/2020,1356
283,九龍城,衙前圍道 56-58號 順興餐廳,05/07/2020,1358
284,觀塘,大本型,05/07/2020,1368
285,觀塘,鯉魚門廣場,05/07/2020,1368
286,沙田,水泉澳廣場 麥當 勞,05/07/2020,1381
287,沙田,馬鞍山廣場 Beans Be Water,05/07/2020,1385
288,西貢,新都城中心二期,05/07/2020,1443
289,黃大仙,牛池灣市政大廈,05/07/2020,1468
290,油尖旺,瓊華中心 牛大人 台灣火鍋,05/07/2020,1481
291,油尖旺,文英街 26-28號 新發茶餐廳,05/07/2020,"1289, 1301, 1317, 1324, 1329, 1396, 1438, 1449"
292,沙田,京瑞廣場 1期 豐鍋雞煲,06/07/2020,1293
293,黃大仙,中華基督教會扶輪 中學,06/07/2020,1295
294,屯門,啟豐商場,06/07/2020,1296
295,東區,華蘭中心,06/07/2020,1304
296,油尖旺,都會海逸酒店,06/07/2020,1313
297,深水埗,貿易廣場,06/07/2020,1313
298,西貢,彩明商場 茶魚飯 后,06/07/2020,1356
299,灣仔,利園一期,06/07/2020,1358
300,沙田,沙田凱悅酒店,06/07/2020,1359
301,油尖旺,中晶金融中心,06/07/2020,1359
302,觀塘,偉景樓,06/07/2020,1371
303,西貢,將軍澳中心(商場) 金田家,06/07/2020,1375
304,沙田,新翠商場 Pizza Hut,06/07/2020,1387
305,黃大仙,貴池徑 2號,06/07/2020,1388
306,油尖旺,怡興閣 維亞軒餐 廳,06/07/2020,1426
307,深水埗,永盛工業大廈,06/07/2020,1428
308,觀塘,保華企業中心,06/07/2020,1431
309,沙田,新貿中心,06/07/2020,1440
310,灣仔,香港賽馬會跑馬地 會所,06/07/2020,1470
311,油尖旺,太子道 108-118號 康齡大廈 大家樂,06/07/2020,1512
312,深水埗,龍慶堂,06/07/2020,1512
313,深水埗,西九龍中心,06/07/2020,"1233, 1263, 1435"
314,黃大仙,毓華里 12-14號,06/07/2020,"1358, 1359"
315,深水埗,創匯國際中心,06/07/2020,"1359, 1464"
316,沙田,新港城中心,06/07/2020,"1372, 1385"
317,黃大仙,慈華大廈 西川風 味餐廳,06/07/2020,"1430, 1532"
318,深水埗,中央飯店,06/07/2020,"1513, 1545"
319,黃大仙,龍池徑 60號 A 新 志興至尊燒鵝大王,07/07/2020,1305
320,觀塘,定富街 4-24號 豬嘜車仔麵,07/07/2020,1329
321,黃大仙,聖母書院,07/07/2020,1331
322,油尖旺,新興鋼具商業大廈 鵝皇館,07/07/2020,1332
323,西貢,港鐵調景嶺站 盈健醫療中心,07/07/2020,1356
324,九龍城,土瓜灣大廈 譚仔三哥米線,07/07/2020,1368
325,九龍城,北帝街 67號,07/07/2020,1368
326,離島,東薈城 元氣壽司,07/07/2020,1377
327,沙田,新城市中央廣場 荳子,07/07/2020,1383
328,黃大仙,黃大仙中心南館 意八餐廳,07/07/2020,1383
329,黃大仙,慈雲山中心 阮蘭坊,07/07/2020,1383
330,沙田,九龍城浸信會禧年 (恩平)小學,07/07/2020,1387
331,九龍城,海濱廣場一座,07/07/2020,1398
332,灣仔,The L. Square,07/07/2020,1415
333,灣仔,銅鑼灣廣場,07/07/2020,1415
334,觀塘,九龍灣工業中心,07/07/2020,1415
335,西貢,香港科技大學鄭裕 彤樓,07/07/2020,1416
336,油尖旺,The One,07/07/2020,1431
337,西貢,將軍澳廣場會所,07/07/2020,1433
338,深水埗,北河街街市及熟食 中心,07/07/2020,1435
339,中西區,干諾道西 118號,07/07/2020,1440
340,九龍城,保良局林文燦英文 小學,07/07/2020,1446
341,九龍城,翔龍灣廣場 太興,07/07/2020,1446
342,黃大仙,毓華里 8號永發大 廈,07/07/2020,1487
343,深水埗,德讚中心,07/07/2020,1521
344,九龍城,香港浸信會醫院,07/07/2020,"1314, 1364"
345,油尖旺,旺角中心第 1座,07/07/2020,"1315, 1512"
346,黃大仙,彩雲商場 彩龍皇 宮大酒樓,07/07/2020,"1361, 1397"
347,油尖旺,先達廣場,08/07/2020,1368
348,西貢,將軍澳中心(商場),08/07/2020,1375
349,沙田,保良局朱正賢小學,08/07/2020,1378
350,沙田,乙明邨街 5號,08/07/2020,1379
351,沙田,水泉澳邨街市,08/07/2020,1384
352,西貢,PopCorn,08/07/2020,1404
353,西貢,維景灣畔第 3期,08/07/2020,1429
354,深水埗,欽州街 56號 B1,08/07/2020,1434
355,油尖旺,恒生尖沙咀大廈,08/07/2020,1464
356,油尖旺,美麗華廣場一期 麵屋一平安,08/07/2020,1464
357,黃大仙,彩虹邨金碧樓 31 號,08/07/2020,1468
358,九龍城,森麻實道 2號,08/07/2020,1477
359,油尖旺,國際廣場 燒肉牛蔵,08/07/2020,1480
360,西貢,彩雲邨伴月樓,08/07/2020,1549
361,沙田,水泉澳廣場,08/07/2020,"1294, 1384, 1385"
362,東區,城市花園商場(城 市中心),08/07/2020,"1390, 1447"
363,葵青,青衣城 2 小食快 綫,09/07/2020,1333
364,西貢,優才(楊殷有娣) 學校,09/07/2020,1371
365,東區,太古城中心,09/07/2020,1376
366,油尖旺,朗廷軒 火水爐冰 室火鍋,09/07/2020,1383
367,沙田,希爾頓中心 譚仔三哥米線,09/07/2020,1385
368,九龍城,祥祺中心 B座,09/07/2020,1398
369,九龍城,黃埔天地百合苑商 場 譚仔三哥米線,09/07/2020,1398
370,沙田,環球工業中心,09/07/2020,1400
371,屯門,宣道會陳瑞芝紀念 中學,09/07/2020,1402
372,屯門,山景邨 道教青松 小學,09/07/2020,1403
373,元朗,宏豐大廈,09/07/2020,1428
374,觀塘,創紀之城五期 (apm) 但馬屋,09/07/2020,1433
375,深水埗,欽州街 94號黃金 商場 潮福蒸氣火 鍋,09/07/2020,1435
376,西貢,富康街市,09/07/2020,1466
377,元朗,大橋街市,09/07/2020,1471
378,黃大仙,現崇山商場 大自然素食,09/07/2020,1477
379,西貢,常寧路 2號 TKO Gateway,09/07/2020,1480
380,油尖旺,香港寶御酒店,09/07/2020,1480
381,油尖旺,環球商業大廈,09/07/2020,1480
382,九龍城,土瓜灣市政大廈暨 政府合署,09/07/2020,1498
383,深水埗,基隆街 298號 囍八方餃子麵館,09/07/2020,1501
384,黃大仙,錦安樓,09/07/2020,1519
385,觀塘,清水灣道 8號匯八 坊商場 大家樂,09/07/2020,"1394, 1523"
386,黃大仙,慈雲山中心,09/07/2020,"1404, 1477, 1538, 1549, 1564, 1565, 1570"
387,中西區,富輝商業中心 聚點坊點心專門店,09/07/2020,"1474, 1479, 1518, 1550"
388,黃大仙,彩虹地鐵站 OK便 利店,10/07/2020,1414
389,觀塘,坪石邨商場 富港酒家,10/07/2020,1414
390,油尖旺,新港中心 鼎泰豐,10/07/2020,1419
391,黃大仙,毓華街 42號,10/07/2020,1445
392,西貢,東港城 壹匯中菜 廳,10/07/2020,1453
393,觀塘,坪石邨街市,10/07/2020,1455
394,葵青,路德會啟聾學校,10/07/2020,1457
395,葵青,香港荃灣帝盛酒店,10/07/2020,1464
396,葵青,華星工業大厦 金 沙餐廳,10/07/2020,1464
397,西貢,將軍澳廣場,10/07/2020,1466
398,屯門,新墟街市,10/07/2020,1471
399,深水埗,通州街公園壁球中 心,10/07/2020,1472
400,觀塘,彩盈商場 銀龍粥 麵餐廳,10/07/2020,1475
401,觀塘,彩福邨彩樂樓,10/07/2020,1475
402,黃大仙,毓華街 58號,10/07/2020,1477
403,油尖旺,尖沙咀中心,10/07/2020,1484
404,西貢,新都城中心一期 大快活快餐店,10/07/2020,1501
405,深水埗,長沙灣政府合署,10/07/2020,1501
406,灣仔,入境事務大樓,10/07/2020,1542
407,黃大仙,慈雲山中心 百匯軒,10/07/2020,"1365, 1393, 1424, 1425, 1509, 1515, 1538"
408,黃大仙,牛池灣街市,10/07/2020,"1371, 1388, 1389, 1394, 1467"
409,九龍城,晴朗商場 A區,11/07/2020,1457
410,西貢,寶林邨寶林市場,11/07/2020,1501
411,觀塘,瑞和街市政大廈,11/07/2020,1512
412,九龍城,聖德肋撒醫院,11/07/2020,1513
413,黃大仙,慈雲山中心 翠河餐廳,11/07/2020,"1430, 1440, 1444, 1445, 1484, 1519, 1531, 1532, 1555"
414,黃大仙,彩雲(一)邨 街市,12/07/2020,1401
415,沙田,沙田中心,12/07/2020,1434
416,觀塘,翠屏北商場,12/07/2020,1512
417,元朗,天盛商場,12/07/2020,1540
418,黃大仙,蒲明里 6、8、 10、12號及蒲惠 里 11號,12/07/2020,"1310, 1311, 1312, 1321, 1408, 1410"
419,黃大仙,德望中學,12/07/2020,"1375, 1429, 1437"
420,深水埗,福華街 104號 圓方餃子粥麵,13/07/2020,1434
421,油尖旺,新九龍廣場 名苑 酒家,13/07/2020,1488
422,深水埗,寶血醫院,13/07/2020,1524
423,沙田,禾輋廣場 金百滬,13/07/2020,"1372, 1434"
424,沙田,瀝源商場 富東閣 海鮮酒家,13/07/2020,"1372, 1434"
425,黃大仙,慈雲山中心 薀莎餐廳,13/07/2020,"1477, 1514, 1534, 1567, 1569, 1555"
