,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s),"HingWoHouse,PoNgaCourt",5382,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s)
125,Tai Po,Fourtune Plaza 咪走雞燒味至尊小廚,5432,,,,08/11/2020
126,Tai Po,Tai Po Plaza Sushi Express,5432,,,,08/11/2020
127,Yau Tsim Mong,Sun Hon House,5433,,,,08/11/2020
128,Yau Tsim Mong,56 Larch Street Hung Cheong Café,5433,,,,08/11/2020
129,Sha Tin,Kings Wing Plaza 1 麗島小廚,5399,,,,09/11/2020
130,Sha Tin,Kings Wing Plaza 1 狀元橋米線,5399,,,,09/11/2020
131,Sha Tin,Kings Wing Plaza 1 台豐台灣美食,5399,,,,09/11/2020
132,Tsuen Wan,L'hotel Nina et Convention Centre Ru Chinese Restaurant,"5399, 5444",,,,09/11/2020
133,Kwai Tsing,Kwai Chung Shopping Centre,5427,,,,09/11/2020
134,Tuen Mun,Richland Garden Shopping Arcade 小桃園餐廳小廚,5427,,,,09/11/2020
135,Kwun Tong,Sino Industrial Plaza 祥和食堂,5427,,,,09/11/2020
136,Sha Tin,Li Ping Medical Library The Chinese University of Hong Kong,5432,,,,09/11/2020
137,Sha Tin,University Health Centre The Chinese University of Hong Kong,5432,,,,09/11/2020
138,Sha Tin,Chuen Fai Centre 裕發粉麵茶餐廳,5432,,,,09/11/2020
139,Wan Chai,Windsor House Genki Sushi,5435,,,,09/11/2020
140,Wan Chai,25 Shan Kwong Road,5446,,,,09/11/2020
141,Sha Tin,New Trade Plaza 永興食堂,5399,,,,10/11/2020
142,Sha Tin,Grandtech Centre,5399,,,,10/11/2020
143,Kwai Tsing,Kwai Chung Shopping Centre Market,5427,,,,10/11/2020
144,Kwai Tsing,Kwong Fai Building 雲貴軒米線專門店,5427,,,,10/11/2020
145,Tai Po,Tai Po Plaza,5432,,,,10/11/2020
146,Kowloon City,34E Tam Kung Road Sugar Taste Café,5435,,,,10/11/2020
147,Kowloon City,Heep Yunn School,5435,,,,10/11/2020
148,Sham Shui Po,Pei Ho Street Municipal Services Building Cooked Food Centre,5436,,,,10/11/2020
149,Wong Tai Sin,64 Yuk Wa Street,5439,,,,10/11/2020
150,Kwun Tong,Millennium City 1 Standard Chartered Tower,5444,,,,10/11/2020
151,Wan Chai,Hysan Place,5426,,,,11/11/2020
152,Kwun Tong,E-Max Taiwan Kitchen,5427,,,,11/11/2020
153,Kwun Tong,E-Max,5427,,,,11/11/2020
154,Kwun Tong,Sino Industrial Plaza 信和食堂,5427,,,,11/11/2020
155,Yau Tsim Mong,Park Summit Shopping Centre Jade Palace Chinese Restaurant,5433,,,,11/11/2020
156,Yau Tsim Mong,Chuang's London Plaza,5439,,,,11/11/2020
157,Wong Tai Sin,Fung Tak Estate Community Centre,5455,,,,11/11/2020
158,Tai Po,Tai Po Hui Market,5457,,,,11/11/2020
159,Sha Tin,Sun Tin Wai Estate Commercial Complex,5446,,,,12/11/2020
160,Yau Tsim Mong,Pioneer Centre Chiu Garden,5456,,,,12/11/2020
